00:58:02 | TCP   | 185.199.110.133:443 -> 172.18.0.1:62313 | Flags: A | Size: 40
00:58:02 | TCP   | 172.18.0.1:62313 -> 185.199.110.133:443 | Flags: A | Size: 40
00:58:02 | TCP   | 172.18.0.1:62313 -> 185.199.110.133:443 | Flags: A | Size: 41
00:58:02 | TCP   | 185.199.110.133:443 -> 172.18.0.1:62313 | Flags: A | Size: 40
00:58:02 | TCP   | 4.207.247.138:443 -> 172.18.0.1:49784 | Flags: A | Size: 40
00:58:02 | TCP   | 172.18.0.1:49784 -> 4.207.247.138:443 | Flags: A | Size: 40
00:58:03 | TCP   | 104.18.32.47:443 -> 172.18.0.1:62701 | Flags: A | Size: 40
00:58:03 | TCP   | 172.18.0.1:62701 -> 104.18.32.47:443 | Flags: A | Size: 40
00:58:03 | TCP   | 172.64.148.235:443 -> 172.18.0.1:56398 | Flags: PA | Size: 64
00:58:03 | TCP   | 172.18.0.1:56398 -> 172.64.148.235:443 | Flags: PA | Size: 68
00:58:03 | TCP   | 172.64.148.235:443 -> 172.18.0.1:56398 | Flags: A | Size: 40
00:58:03 | TCP   | 104.18.39.21:443 -> 172.18.0.1:62151 | Flags: PA | Size: 64
00:58:03 | TCP   | 172.18.0.1:62151 -> 104.18.39.21:443 | Flags: PA | Size: 68
00:58:03 | TCP   | 104.18.39.21:443 -> 172.18.0.1:62151 | Flags: A | Size: 40
00:58:04 | TCP   | 149.154.167.51:443 -> 172.18.0.1:59913 | Flags: A | Size: 40
00:58:04 | TCP   | 172.18.0.1:59913 -> 149.154.167.51:443 | Flags: A | Size: 40
00:58:04 | TCP   | 91.105.192.100:443 -> 172.18.0.1:54503 | Flags: A | Size: 40
00:58:04 | TCP   | 172.18.0.1:54503 -> 91.105.192.100:443 | Flags: A | Size: 40
00:58:05 | TCP   | 87.250.251.183:443 -> 172.18.0.1:55943 | Flags: A | Size: 40
00:58:05 | TCP   | 172.18.0.1:55943 -> 87.250.251.183:443 | Flags: A | Size: 40
00:58:05 | TCP   | 77.88.44.55:443 -> 172.18.0.1:60878 | Flags: A | Size: 40
00:58:05 | TCP   | 172.18.0.1:60878 -> 77.88.44.55:443 | Flags: A | Size: 40
00:58:05 | TCP   | 20.50.88.235:443 -> 172.18.0.1:49773 | Flags: A | Size: 40
00:58:05 | TCP   | 172.18.0.1:49773 -> 20.50.88.235:443 | Flags: A | Size: 40
00:58:05 | TCP   | 94.124.200.0:443 -> 172.18.0.1:52228 | Flags: A | Size: 40
00:58:06 | TCP   | 13.69.68.64:443 -> 172.18.0.1:64855 | Flags: A | Size: 40
